en	zh-Hans	zh-Hant	ja	ko	es	pt	ru	de	fr	it	tr	vi	id	pl	nl	uk	cs	sv	ro
MASTER	大师	大師	マスター	마스터	Maestro	Mestre	Мастер	Meister	Maître	Maestro	Usta	Cao thủ	Master	Mistrz	Meester	Майстер	Mistr	Mästare	Maestru
TO GOLD	距离黄金	距離黃金	ゴールドまで	골드까지	para Oro	para Ouro	до Золота	bis Gold	jusqu'à Or	al Oro	Altın'a	đến Vàng	ke Emas	do Złota	tot Goud	до Золота	do Zlata	till Guld	până la Aur
TODAY'S CHALLENGES	今日挑战	今日挑戰	今日のチャレンジ	오늘의 도전	Retos de hoy	Desafios de hoje	Задания на сегодня	Heutige Aufgaben	Défis du jour	Sfide di oggi	Bugünün görevleri	Thử thách hôm nay	Tantangan hari ini	Dzisiejsze wyzwania	Uitdagingen van vandaag	Сьогоднішні завдання	Dnešní výzvy	Dagens utmaningar	Provocările de azi
CLAIM	领取	領取	受け取る	받기	Reclamar	Resgatar	Забрать	Abholen	Récupérer	Riscuoti	Al	Nhận	Ambil	Odbierz	Ophalen	Забрати	Vyzvednout	Hämta	Revendică
COME BACK TOMORROW	明天再来	明天再來	また明日	내일 다시 오세요	Vuelve mañana	Volta amanhã	Возвращайся завтра	Komm morgen wieder	Reviens demain	Torna domani	Yarın tekrar gel	Mai quay lại nhé	Kembali besok	Wróć jutro	Kom morgen terug	Повертайся завтра	Přijď zítra	Kom tillbaka i morgon	Revino mâine
PLAY A MATCH TODAY	今天打一场比赛	今天打一場比賽	今日1試合プレイする	오늘 한 경기 하기	Juega un combate hoy	Joga uma partida hoje	Сыграй матч сегодня	Spiele heute ein Match	Joue un match aujourd'hui	Gioca una partita oggi	Bugün bir maç oyna	Chơi một trận hôm nay	Main satu laga hari ini	Zagraj dziś mecz	Speel vandaag een match	Зіграй матч сьогодні	Zahraj si dnes zápas	Spela en match idag	Joacă un meci azi
WIN 3 MATCHES	赢下 3 场比赛	贏下 3 場比賽	3試合勝利する	3경기 승리	Gana 3 combates	Vence 3 partidas	Выиграй 3 матча	Gewinne 3 Matches	Gagne 3 matchs	Vinci 3 partite	3 maç kazan	Thắng 3 trận	Menangkan 3 laga	Wygraj 3 mecze	Win 3 matches	Виграй 3 матчі	Vyhraj 3 zápasy	Vinn 3 matcher	Câștigă 3 meciuri
STREAK LOST	连续中断	連續中斷	連続記録が途切れました	연속 기록이 끊겼습니다	Racha perdida	Sequência perdida	Серия прервана	Serie verloren	Série perdue	Serie interrotta	Seri bozuldu	Mất chuỗi	Rentetan hilang	Seria przerwana	Reeks verloren	Серію втрачено	Série ztracena	Sviten bruten	Seria s-a pierdut
WATCH AD	观看广告	觀看廣告	広告を見る	광고 보기	Ver anuncio	Ver anúncio	Смотреть рекламу	Werbung ansehen	Voir une pub	Guarda un annuncio	Reklam izle	Xem quảng cáo	Tonton iklan	Obejrzyj reklamę	Advertentie kijken	Переглянути рекламу	Zhlédnout reklamu	Se annons	Vezi o reclamă
SIMULATED AD	模拟广告	模擬廣告	テスト広告	테스트 광고	Anuncio simulado	Anúncio simulado	Тестовая реклама	Testwerbung	Publicité simulée	Annuncio simulato	Simüle reklam	Quảng cáo mô phỏng	Iklan simulasi	Symulowana reklama	Gesimuleerde advertentie	Тестова реклама	Simulovaná reklama	Simulerad annons	Reclamă simulată
NO AD SDK INSTALLED	未安装广告 SDK	未安裝廣告 SDK	広告SDKが未導入です	광고 SDK가 없습니다	Sin SDK de anuncios	Sem SDK de anúncios	SDK рекламы не установлен	Kein Werbe-SDK installiert	Aucun SDK publicitaire	Nessun SDK pubblicitario	Reklam SDK yok	Chưa cài SDK quảng cáo	SDK iklan belum dipasang	Brak SDK reklam	Geen advertentie-SDK	Немає рекламного SDK	Není nainstalováno reklamní SDK	Inget annons-SDK	Fără SDK de reclame
LOGIN	登录	登入	ログイン	로그인	Iniciar sesión	Entrar	Вход	Anmelden	Connexion	Accedi	Giriş	Đăng nhập	Masuk	Zaloguj	Inloggen	Увійти	Přihlásit	Logga in	Autentificare
SIGN UP	注册	註冊	新規登録	가입	Registrarse	Registar	Регистрация	Registrieren	S'inscrire	Registrati	Kayıt ol	Đăng ký	Daftar	Zarejestruj	Aanmelden	Зареєструватися	Registrovat	Skapa konto	Înregistrare
CREATE ACCOUNT	创建账号	建立帳號	アカウントを作成	계정 만들기	Crear cuenta	Criar conta	Создать аккаунт	Konto erstellen	Créer un compte	Crea un account	Hesap oluştur	Tạo tài khoản	Buat akun	Załóż konto	Account aanmaken	Створити акаунт	Vytvořit účet	Skapa konto	Creează cont
EMAIL	电子邮箱	電子郵件	メールアドレス	이메일	Correo	E-mail	Эл. почта	E-Mail	E-mail	E-mail	E-posta	Email	Email	E-mail	E-mail	Ел. пошта	E-mail	E-post	E-mail
PASSWORD	密码	密碼	パスワード	비밀번호	Contraseña	Palavra-passe	Пароль	Passwort	Mot de passe	Password	Şifre	Mật khẩu	Kata sandi	Hasło	Wachtwoord	Пароль	Heslo	Lösenord	Parolă
CONFIRM PASSWORD	确认密码	確認密碼	パスワードの確認	비밀번호 확인	Confirmar contraseña	Confirmar palavra-passe	Подтвердите пароль	Passwort bestätigen	Confirmer le mot de passe	Conferma password	Şifreyi doğrula	Xác nhận mật khẩu	Konfirmasi kata sandi	Potwierdź hasło	Wachtwoord bevestigen	Підтвердьте пароль	Potvrdit heslo	Bekräfta lösenord	Confirmă parola
USERNAME	用户名	使用者名稱	ユーザー名	사용자 이름	Nombre de usuario	Nome de utilizador	Имя пользователя	Benutzername	Nom d'utilisateur	Nome utente	Kullanıcı adı	Tên người dùng	Nama pengguna	Nazwa użytkownika	Gebruikersnaam	Ім'я користувача	Uživatelské jméno	Användarnamn	Nume de utilizator
FORGOT PASSWORD?	忘记密码？	忘記密碼？	パスワードをお忘れですか？	비밀번호를 잊으셨나요?	¿Olvidaste la contraseña?	Esqueceste a palavra-passe?	Забыли пароль?	Passwort vergessen?	Mot de passe oublié ?	Password dimenticata?	Şifreni mi unuttun?	Quên mật khẩu?	Lupa kata sandi?	Nie pamiętasz hasła?	Wachtwoord vergeten?	Забули пароль?	Zapomněli jste heslo?	Glömt lösenordet?	Ai uitat parola?
RESET PASSWORD	重置密码	重設密碼	パスワードを再設定	비밀번호 재설정	Restablecer contraseña	Repor palavra-passe	Сбросить пароль	Passwort zurücksetzen	Réinitialiser le mot de passe	Reimposta la password	Şifreyi sıfırla	Đặt lại mật khẩu	Atur ulang kata sandi	Zresetuj hasło	Wachtwoord resetten	Скинути пароль	Obnovit heslo	Återställ lösenord	Resetează parola
ENTER YOUR EMAIL	请输入你的邮箱	請輸入你的電子郵件	メールアドレスを入力	이메일을 입력하세요	Introduce tu correo	Introduz o teu e-mail	Введите эл. почту	Gib deine E-Mail ein	Saisis ton e-mail	Inserisci la tua e-mail	E-postanı gir	Nhập email của bạn	Masukkan email kamu	Podaj swój e-mail	Voer je e-mail in	Введіть свою ел. пошту	Zadejte svůj e-mail	Ange din e-post	Introdu adresa de e-mail
TO RESET PASSWORD	以重置密码	以重設密碼	パスワード再設定のため	비밀번호 재설정을 위해	para restablecer la contraseña	para repor a palavra-passe	чтобы сбросить пароль	um das Passwort zurückzusetzen	pour réinitialiser le mot de passe	per reimpostare la password	şifreyi sıfırlamak için	để đặt lại mật khẩu	untuk atur ulang kata sandi	aby zresetować hasło	om je wachtwoord te resetten	щоб скинути пароль	pro obnovení hesla	för att återställa lösenordet	pentru a reseta parola
SENDING...	发送中…	傳送中…	送信中…	보내는 중…	Enviando...	A enviar...	Отправка...	Wird gesendet...	Envoi...	Invio in corso...	Gönderiliyor...	Đang gửi...	Mengirim...	Wysyłanie...	Verzenden...	Надсилання...	Odesílání...	Skickar...	Se trimite...
PLAY AS GUEST	以访客身份游玩	以訪客身分遊玩	ゲストとしてプレイ	게스트로 플레이	Jugar como invitado	Jogar como convidado	Играть как гость	Als Gast spielen	Jouer en invité	Gioca come ospite	Misafir olarak oyna	Chơi với tư cách khách	Main sebagai tamu	Graj jako gość	Als gast spelen	Грати як гість	Hrát jako host	Spela som gäst	Joacă drept oaspete
NO ACCOUNT NEEDED	无需账号	無需帳號	アカウント不要	계정이 필요 없습니다	Sin cuenta	Sem conta	Аккаунт не нужен	Kein Konto nötig	Aucun compte requis	Nessun account richiesto	Hesap gerekmez	Không cần tài khoản	Tanpa akun	Konto niepotrzebne	Geen account nodig	Акаунт не потрібен	Účet není potřeba	Inget konto behövs	Fără cont
NO ACCOUNT? SIGN UP	还没有账号？注册	還沒有帳號？註冊	アカウントがない場合は新規登録	계정이 없나요? 가입하기	¿Sin cuenta? Regístrate	Sem conta? Regista-te	Нет аккаунта? Зарегистрируйтесь	Kein Konto? Registrieren	Pas de compte ? Inscris-toi	Non hai un account? Registrati	Hesabın yok mu? Kayıt ol	Chưa có tài khoản? Đăng ký	Belum punya akun? Daftar	Nie masz konta? Zarejestruj się	Geen account? Meld je aan	Немає акаунта? Зареєструйтесь	Nemáte účet? Registrujte se	Inget konto? Skapa ett	Nu ai cont? Înregistrează-te
OR	或	或	または	또는	o	ou	или	oder	ou	oppure	veya	hoặc	atau	lub	of	або	nebo	eller	sau
Connecting...	连接中…	連線中…	接続中…	연결 중…	Conectando...	A ligar...	Подключение...	Verbinden...	Connexion...	Connessione...	Bağlanıyor...	Đang kết nối...	Menghubungkan...	Łączenie...	Verbinden...	З'єднання...	Připojování...	Ansluter...	Se conectează...
Email is required	请填写邮箱	請填寫電子郵件	メールアドレスを入力してください	이메일을 입력해 주세요	Falta el correo	O e-mail é obrigatório	Укажите эл. почту	E-Mail ist erforderlich	L'e-mail est obligatoire	L'e-mail è obbligatoria	E-posta gerekli	Vui lòng nhập email	Email wajib diisi	E-mail jest wymagany	E-mail is verplicht	Вкажіть ел. пошту	E-mail je povinný	E-post krävs	E-mailul este obligatoriu
Password is required	请填写密码	請填寫密碼	パスワードを入力してください	비밀번호를 입력해 주세요	Falta la contraseña	A palavra-passe é obrigatória	Укажите пароль	Passwort ist erforderlich	Le mot de passe est obligatoire	La password è obbligatoria	Şifre gerekli	Vui lòng nhập mật khẩu	Kata sandi wajib diisi	Hasło jest wymagane	Wachtwoord is verplicht	Вкажіть пароль	Heslo je povinné	Lösenord krävs	Parola este obligatorie
Username is required	请填写用户名	請填寫使用者名稱	ユーザー名を入力してください	사용자 이름을 입력해 주세요	Falta el nombre de usuario	O nome de utilizador é obrigatório	Укажите имя пользователя	Benutzername ist erforderlich	Le nom d'utilisateur est obligatoire	Il nome utente è obbligatorio	Kullanıcı adı gerekli	Vui lòng nhập tên người dùng	Nama pengguna wajib diisi	Nazwa użytkownika jest wymagana	Gebruikersnaam is verplicht	Вкажіть ім'я користувача	Uživatelské jméno je povinné	Användarnamn krävs	Numele de utilizator este obligatoriu
Confirm password is required	请确认密码	請確認密碼	確認用パスワードを入力してください	비밀번호 확인을 입력해 주세요	Falta confirmar la contraseña	É preciso confirmar a palavra-passe	Подтвердите пароль	Passwortbestätigung ist erforderlich	La confirmation est obligatoire	La conferma è obbligatoria	Şifre doğrulaması gerekli	Vui lòng xác nhận mật khẩu	Konfirmasi kata sandi wajib diisi	Potwierdzenie hasła jest wymagane	Bevestiging is verplicht	Підтвердьте пароль	Potvrzení hesla je povinné	Bekräftelse krävs	Confirmarea parolei este obligatorie
Passwords don't match	两次输入的密码不一致	兩次輸入的密碼不一致	パスワードが一致しません	비밀번호가 일치하지 않습니다	Las contraseñas no coinciden	As palavras-passe não coincidem	Пароли не совпадают	Passwörter stimmen nicht überein	Les mots de passe ne correspondent pas	Le password non coincidono	Şifreler eşleşmiyor	Mật khẩu không khớp	Kata sandi tidak cocok	Hasła nie są takie same	Wachtwoorden komen niet overeen	Паролі не збігаються	Hesla se neshodují	Lösenorden matchar inte	Parolele nu se potrivesc
Password must be at least 6 characters	密码至少需要 6 个字符	密碼至少需要 6 個字元	パスワードは6文字以上にしてください	비밀번호는 6자 이상이어야 합니다	La contraseña debe tener al menos 6 caracteres	A palavra-passe deve ter pelo menos 6 caracteres	Пароль должен быть не короче 6 символов	Das Passwort muss mindestens 6 Zeichen haben	Le mot de passe doit faire au moins 6 caractères	La password deve avere almeno 6 caratteri	Şifre en az 6 karakter olmalı	Mật khẩu phải có ít nhất 6 ký tự	Kata sandi minimal 6 karakter	Hasło musi mieć co najmniej 6 znaków	Wachtwoord moet minstens 6 tekens hebben	Пароль має містити щонайменше 6 символів	Heslo musí mít alespoň 6 znaků	Lösenordet måste ha minst 6 tecken	Parola trebuie să aibă cel puțin 6 caractere
Invalid email format	邮箱格式不正确	電子郵件格式不正確	メールアドレスの形式が正しくありません	이메일 형식이 올바르지 않습니다	Formato de correo no válido	Formato de e-mail inválido	Неверный формат эл. почты	Ungültiges E-Mail-Format	Format d'e-mail invalide	Formato e-mail non valido	Geçersiz e-posta biçimi	Định dạng email không hợp lệ	Format email tidak valid	Nieprawidłowy format e-mail	Ongeldig e-mailadres	Невірний формат ел. пошти	Neplatný formát e-mailu	Ogiltigt e-postformat	Format de e-mail invalid
Please fill in all fields	请填写所有字段	請填寫所有欄位	すべての項目を入力してください	모든 항목을 입력해 주세요	Completa todos los campos	Preenche todos os campos	Заполните все поля	Bitte alle Felder ausfüllen	Remplis tous les champs	Compila tutti i campi	Lütfen tüm alanları doldur	Vui lòng điền đầy đủ	Isi semua kolom	Wypełnij wszystkie pola	Vul alle velden in	Заповніть усі поля	Vyplňte prosím všechna pole	Fyll i alla fält	Completează toate câmpurile
Reset link sent! Check your email.	重置链接已发送，请查收邮件。	重設連結已寄出，請查收郵件。	再設定リンクを送信しました。メールをご確認ください。	재설정 링크를 보냈습니다. 이메일을 확인하세요.	¡Enlace enviado! Revisa tu correo.	Link enviado! Verifica o teu e-mail.	Ссылка отправлена! Проверьте почту.	Link gesendet! Prüfe deine E-Mails.	Lien envoyé ! Consulte tes e-mails.	Link inviato! Controlla la tua e-mail.	Bağlantı gönderildi! E-postanı kontrol et.	Đã gửi liên kết! Kiểm tra email nhé.	Tautan terkirim! Cek email kamu.	Link wysłany! Sprawdź e-mail.	Link verzonden! Check je e-mail.	Посилання надіслано! Перевірте пошту.	Odkaz odeslán! Zkontrolujte e-mail.	Länk skickad! Kolla din e-post.	Link trimis! Verifică-ți e-mailul.
No account found for this email.\nPlease create an account.	未找到使用该邮箱的账号。\n请先创建账号。	找不到使用該電子郵件的帳號。\n請先建立帳號。	このメールアドレスのアカウントが見つかりません。\nアカウントを作成してください。	이 이메일의 계정을 찾을 수 없습니다.\n계정을 만들어 주세요.	No hay ninguna cuenta con este correo.\nCrea una cuenta.	Não existe conta com este e-mail.\nCria uma conta.	Аккаунт с этой почтой не найден.\nСоздайте аккаунт.	Kein Konto mit dieser E-Mail gefunden.\nBitte erstelle ein Konto.	Aucun compte pour cet e-mail.\nCrée un compte.	Nessun account con questa e-mail.\nCrea un account.	Bu e-postayla hesap bulunamadı.\nLütfen hesap oluştur.	Không tìm thấy tài khoản với email này.\nHãy tạo tài khoản.	Akun dengan email ini tidak ditemukan.\nSilakan buat akun.	Nie znaleziono konta dla tego e-maila.\nZałóż konto.	Geen account met dit e-mailadres.\nMaak een account aan.	Акаунт із цією поштою не знайдено.\nСтворіть акаунт.	Účet s tímto e-mailem nenalezen.\nVytvořte si účet.	Inget konto med denna e-post.\nSkapa ett konto.	Nu există un cont cu acest e-mail.\nCreează un cont.
LEVEL	等级	等級	レベル	레벨	Nivel	Nível	Уровень	Level	Niveau	Livello	Seviye	Cấp	Level	Poziom	Niveau	Рівень	Úroveň	Nivå	Nivel
XP THIS LEVEL	本级经验	本級經驗	このレベルのXP	현재 레벨 XP	XP de este nivel	XP deste nível	Опыт на уровне	XP dieser Stufe	XP de ce niveau	XP di questo livello	Bu seviyedeki XP	XP cấp này	XP level ini	XP na tym poziomie	XP dit niveau	Досвід на рівні	XP této úrovně	XP på nivån	XP pe nivelul curent
